run_id,timestamp,split,text,label,pred,correct,confidence,margin,error_type,model_name,use_lora,fp16
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Sanoma News ' advertising sales decreased by 22 % during the year .,0,0,1,0.9963201284408569,0.9927425980567932,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,1,1,1,0.9903162121772766,0.9814676642417908,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",1,1,1,0.9981022477149963,0.9965142011642456,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2,2,1,0.9984356760978699,0.9969404339790344,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"The parties have agreed not to disclose the price of the deal , the group said in a press release .",1,1,1,0.9979210495948792,0.9962603449821472,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,The estimated value of the deal is USD 9.2 million .,1,1,1,0.998394787311554,0.9972934126853943,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",1,1,1,0.9979377388954163,0.9961297512054443,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"Department store sales improved by 14 % to EUR 1,070.6 mn .",2,2,1,0.9979039430618286,0.9958831071853638,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of",1,1,1,0.998190701007843,0.9966332316398621,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"The total donation amount is EUR 1,115,000 .",1,1,1,0.9983893632888794,0.9973924160003662,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",1,0,0,0.9400840997695923,0.880773663520813,misclassification,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,2,2,1,0.998497724533081,0.9974799752235413,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,0,0,1,0.998259961605072,0.9967023730278015,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",1,1,1,0.9834825992584229,0.9670974612236023,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Operating profit improved by 16.7 % to EUR 7.7 mn .,2,2,1,0.9978222846984863,0.9957231879234314,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,The total value of the contract is some EUR 8 million .,1,1,1,0.9983618855476379,0.9969655275344849,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",1,1,1,0.9979599714279175,0.9965831637382507,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,The bond has a value of EUR150m and a maturity of 4 years .,1,1,1,0.9983843564987183,0.9972904920578003,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,1,1,1,0.9958600401878357,0.9918941855430603,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Marimekko is considering further measures in the matter .,1,1,1,0.9951449036598206,0.9907302856445312,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,It 's not .,1,1,1,0.9781820178031921,0.9567445516586304,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,2,2,1,0.9972646236419678,0.9947364926338196,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,The profit after taxes was EUR 57.7 11.1 million .,1,1,1,0.9979401230812073,0.9963067173957825,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",1,1,1,0.9978587031364441,0.9959077835083008,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",1,1,1,0.9946678876876831,0.989467442035675,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,Why not give your bedroom a cool makeover for summer .,1,1,1,0.9969471096992493,0.9951913356781006,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"The company operates worldwide and employs in total approximately 47,000 persons .",1,1,1,0.9979416728019714,0.9960671663284302,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",1,1,1,0.9981580376625061,0.9965991377830505,ok,ProsusAI/finbert,True,True
finlora_gpu_v1,2026-02-11T02:15:35Z,test,The dividends payable annually shall be deducted from the share subscription price .,1,1,1,0.9979720711708069,0.9963402152061462,ok,ProsusAI/finbert,True,True
