version_tag,text,label,pred,True_Label_Name,Pred_Label_Name,confidence,margin,error_type,model_name,use_lora,timestamp,run_id,split,correct,fp16
V1_LoRA,Sanoma News ' advertising sales decreased by 22 % during the year .,0,0,negative,negative,0.9963201284408568,0.9927425980567932,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,1,1,neutral,neutral,0.9903162121772766,0.9814676642417908,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",1,1,neutral,neutral,0.9981022477149964,0.9965142011642456,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",2,2,positive,positive,0.99843567609787,0.9969404339790344,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,"The parties have agreed not to disclose the price of the deal , the group said in a press release .",1,1,neutral,neutral,0.9979210495948792,0.9962603449821472,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,The estimated value of the deal is USD 9.2 million .,1,1,neutral,neutral,0.998394787311554,0.9972934126853944,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",1,1,neutral,neutral,0.9979377388954164,0.9961297512054444,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,"Department store sales improved by 14 % to EUR 1,070.6 mn .",2,2,positive,positive,0.9979039430618286,0.9958831071853638,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of",1,1,neutral,neutral,0.998190701007843,0.996633231639862,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
V1_LoRA,"The total donation amount is EUR 1,115,000 .",1,1,neutral,neutral,0.9983893632888794,0.9973924160003662,ok,ProsusAI/finbert,True,2026-02-11T02:15:35Z,finlora_gpu_v1,test,1,True
